GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4
 "08000","Colorado",7,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",215478.2,218305.0,222591.4,223256.9,228383.5,228830.1,233325.9,234284.1,237999.4,243746.7,247755.1,254672.7,252677.0,258252.8,259015.8,252321.8,249851.6,245713.0,248103.5,250706.5,251071.9,252281.3,255674.6,261534.0,260696.3,263665.8,265350.5,268013.8,270562.4,272837.5,273457.3,277220.8,283479.7,285160.9,290188.1,294391.9,298528.9,304047.1,309360.2,314348.5,314437.6,317821.2,320181.6,321779.0,319966.4,326151.0,332951.7,338404.0,341820.5,345767.4,353032.7,359397.0,362721.2,370476.6,375311.6,378488.8,383690.3,388730.8,392347.5,396366.9
 "09000","Connecticut",1,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",240783.5,242272.3,241897.2,244988.5,252521.0,250059.3,250320.2,253424.8,261497.3,261637.9,261931.5,259449.5,269107.3,264446.7,258799.5,246534.1,249626.4,247277.6,246976.2,248282.3,246399.1,248399.9,248613.8,246430.2,240608.1,243211.1,241503.8,242755.2,243311.8,243959.9,243591.0,244341.2,242242.4,240876.3,241590.1,239615.9,234748.2,236842.8,238664.7,240881.3,242317.1,243767.8,242602.7,242955.3,243344.7,243454.6,242174.2,242202.0,241700.2,244427.9,244414.8,244187.3,244658.1,243649.8,246431.1,244964.0,247584.7,248173.3,249471.6,250045.1
 "09000","Connecticut",1,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.762,99.373,99.219,100.487,103.577,102.567,102.674,103.947,107.259,107.316,107.437,106.419,110.380,108.468,106.152,101.121,102.389,101.426,101.302,101.838,101.066,101.886,101.974,101.078,98.690,99.758,99.058,99.571,99.799,100.065,99.914,100.222,99.361,98.800,99.093,98.283,96.287,97.146,97.893,98.802,99.391,99.986,99.509,99.653,99.813,99.858,99.333,99.344,99.138,100.257,100.252,100.158,100.352,99.938,101.079,100.477,101.552,101.793,102.326,102.561
 "09000","Connecticut",1,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",205719.4,207684.4,208848.3,212812.7,221193.2,221103.8,222710.6,226548.9,236127.6,237679.2,239107.0,237256.9,246890.1,243012.4,240770.1,232971.0,237327.0,235371.1,235483.2,237391.6,235511.2,238349.1,239031.0,237722.5,233018.5,237031.8,237298.2,238746.2,241260.8,243246.5,244262.7,246433.8,245547.0,245406.1,247673.9,247901.2,243620.4,247035.2,250531.5,254273.8,257686.5,260496.3,260660.9,261446.7,262478.0,264047.2,263601.2,264659.2,264429.9,268292.0,269571.0,270949.3,272854.5,273884.5,278294.5,277874.1,281659.3,284357.4,287560.1,288984.7
 "10000","Delaware",2,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",59167.0,57875.9,57893.6,64957.5,61390.7,62194.5,61658.9,60743.0,61186.2,62708.3,61036.9,60009.2,59254.4,59260.6,58808.1,57302.4,60271.7,60911.2,60949.2,59484.7,60412.6,59264.3,59861.3,60526.1,61255.3,61755.4,62498.6,62560.1,63422.4,62552.0,61751.6,60177.1,58869.3,58411.2,58551.2,60796.8,61282.3,63203.3,64485.6,65026.7,66038.2,67344.4,65301.7,64820.0,63003.4,63279.8,62991.3,63160.5,63433.8,62304.6,62949.7,62272.2,62374.5,62472.7,63317.3,62894.5,62978.8,63260.6,63260.0,63621.5
 "10000","Delaware",2,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.468,93.385,93.413,104.811,99.056,100.353,99.489,98.011,98.726,101.182,98.485,96.827,95.609,95.619,94.889,92.459,97.250,98.282,98.344,95.981,97.478,95.625,96.588,97.661,98.838,99.644,100.844,100.943,102.334,100.930,99.638,97.098,94.988,94.248,94.474,98.098,98.881,101.981,104.050,104.923,106.555,108.662,105.367,104.589,101.658,102.104,101.639,101.912,102.353,100.531,101.571,100.478,100.643,100.802,102.165,101.482,101.618,102.073,102.072,102.655
 "10000","Delaware",2,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",51061.6,50102.0,50462.4,56990.2,54369.6,55591.9,55397.0,54911.2,55818.8,57440.0,56282.2,55572.8,55053.5,55105.7,54998.4,53992.5,56579.7,57183.5,57326.8,56394.9,57422.7,56716.6,57406.1,58244.4,59077.0,59927.1,61161.6,61263.7,62853.7,62332.0,61945.9,60771.4,59776.8,59594.7,60174.3,63118.4,63919.6,66402.8,68203.2,69038.3,70549.0,72412.2,70663.6,70252.7,68557.4,69531.5,69756.4,70353.4,70780.6,69899.0,71193.2,71226.4,72091.2,73024.7,74461.4,74348.1,74270.2,75216.3,75765.4,76410.2
 "11000","District of Columbia",2,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)","Millions of chained 2012 dollars",99815.7,100085.8,100021.1,99896.0,100122.0,99912.7,101192.5,99741.3,101292.3,101644.4,104538.5,104350.7,106495.7,106608.3,107143.5,106739.7,105562.8,106663.0,106257.6,106921.9,108312.4,110134.3,110255.4,111154.2,111370.3,111986.9,112280.0,112396.0,112328.4,113147.6,112950.7,112519.1,112898.4,112266.7,112189.4,113357.0,114063.1,114464.7,115232.1,115882.0,116879.2,117764.2,117131.6,117178.8,119227.5,119635.7,119253.7,120152.5,120128.8,120110.1,122352.1,121454.0,123158.5,123322.0,124728.4,124717.7,125066.8,125722.9,126168.3,126783.9
 "11000","District of Columbia",2,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.539,88.779,88.721,88.610,88.811,88.625,89.760,88.473,89.849,90.161,92.728,92.562,94.464,94.564,95.039,94.681,93.637,94.613,94.253,94.842,96.076,97.692,97.799,98.596,98.788,99.335,99.595,99.698,99.638,100.365,100.190,99.807,100.144,99.583,99.515,100.550,101.177,101.533,102.214,102.790,103.675,104.460,103.899,103.940,105.758,106.120,105.781,106.578,106.557,106.541,108.529,107.733,109.245,109.390,110.637,110.628,110.937,111.519,111.914,112.460
 "11000","District of Columbia",2,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",84079.4,85135.0,85721.2,86283.9,87382.9,87900.6,89616.3,89168.9,91504.0,92402.6,95873.5,96099.9,98573.4,98855.9,99865.3,100619.3,99798.6,101040.5,100843.6,101895.8,103529.2,106093.6,106727.5,108131.0,108718.0,109796.4,110778.7,111011.7,111586.8,112977.9,113187.0,113194.1,114163.7,114095.3,114566.8,116738.2,118011.9,118903.7,120504.9,121943.4,124022.8,125514.6,125439.5,125870.6,128486.8,129630.9,129811.8,131374.8,132033.7,132642.5,135881.7,135612.8,138469.2,139579.6,141968.8,142626.2,144074.8,145475.7,146995.5,148231.1
